,_id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
23,65c21d0abf85afd03721ab92,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168
24,65c21d0abf85afd03721ab93,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
25,65c21d0abf85afd03721ab94,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
26,65c21d0abf85afd03721ab95,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
27,65c21d0abf85afd03721ab96,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
28,65c21d0abf85afd03721ab97,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.427515184
29,65c21d0abf85afd03721ab98,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
30,65c21d0abf85afd03721ab99,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
31,65c21d0abf85afd03721ab9a,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812
32,65c21d0abf85afd03721ab9b,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.719503284
33,65c21d0abf85afd03721ab9c,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.131120456
34,65c21d0abf85afd03721ab9d,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.692254024
35,65c21d0abf85afd03721ab9e,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
36,65c21d0abf85afd03721ab9f,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452
37,65c21d0abf85afd03721aba0,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
38,65c21d0abf85afd03721aba1,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.229026048
39,65c21d0abf85afd03721aba2,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604
40,65c21d0abf85afd03721aba3,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106
41,65c21d0abf85afd03721aba4,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
42,65c21d0abf85afd03721aba5,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
43,65c21d0abf85afd03721aba6,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996
44,65c21d0abf85afd03721aba7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
45,65c21d0abf85afd03721aba8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076402024
46,65c21d0abf85afd03721aba9,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.049192652
47,65c21d0abf85afd03721abaa,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216
48,65c21d0abf85afd03721abab,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.258003984
49,65c21d0abf85afd03721abac,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
50,65c21d0abf85afd03721abad,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
51,65c21d0abf85afd03721abae,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941844
52,65c21d0abf85afd03721abaf,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
53,65c21d0abf85afd03721abb0,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.185149412
54,65c21d0abf85afd03721abb1,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
55,65c21d0abf85afd03721abb2,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.638264956
56,65c21d0abf85afd03721abb3,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.934619796
57,65c21d0abf85afd03721abb4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
58,65c21d0abf85afd03721abb5,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.94882902
59,65c21d0abf85afd03721abb6,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.01900564
60,65c21d0abf85afd03721abb7,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.378282644
61,65c21d0abf85afd03721abb8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.732763232
62,65c21d0abf85afd03721abb9,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.86640156
63,65c21d0abf85afd03721abba,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112244
64,65c21d0abf85afd03721abbb,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.695621452
65,65c21d0abf85afd03721abbc,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.064311264
66,65c21d0abf85afd03721abbd,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.698039604
67,65c21d0abf85afd03721abbe,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.275580636
68,65c21d0abf85afd03721abbf,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.856968808
69,65c21d0abf85afd03721abc0,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
70,65c21d0abf85afd03721abc1,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.39795764
71,65c21d0abf85afd03721abc2,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
72,65c21d0abf85afd03721abc3,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
73,65c21d0abf85afd03721abc4,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3009114
74,65c21d0abf85afd03721abc5,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
75,65c21d0abf85afd03721abc6,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.79707432
76,65c21d0abf85afd03721abc7,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
77,65c21d0abf85afd03721abc8,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
78,65c21d0abf85afd03721abc9,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.096147
79,65c21d0abf85afd03721abca,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.2996124
80,65c21d0abf85afd03721abcb,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
81,65c21d0abf85afd03721abcc,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2003478
82,65c21d0abf85afd03721abcd,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.09966436
83,65c21d0abf85afd03721abce,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
84,65c21d0abf85afd03721abcf,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.29609504
85,65c21d0abf85afd03721abd0,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.59946448
86,65c21d0abf85afd03721abd1,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
87,65c21d0abf85afd03721abd2,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.40055564
88,65c21d0abf85afd03721abd3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
89,65c21d0abf85afd03721abd4,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.300132
90,65c21d0abf85afd03721abd5,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688
91,65c21d0abf85afd03721abd6,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
92,65c21d0abf85afd03721abd7,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.0971862
93,65c21d0abf85afd03721abd8,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
94,65c21d0abf85afd03721abd9,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.79577532
95,65c21d0abf85afd03721abda,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
96,65c21d0abf85afd03721abdb,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088
97,65c21d0abf85afd03721abdc,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
98,65c21d0abf85afd03721abdd,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.59934464
99,65c21d0abf85afd03721abde,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.89607912
100,65c21d0abf85afd03721abdf,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
101,65c21d0abf85afd03721abe0,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.90127512
102,65c21d0abf85afd03721abe1,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.89815752
103,65c21d0abf85afd03721abe2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
104,65c21d0abf85afd03721abe3,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.39821744
105,65c21d0abf85afd03721abe4,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.09628696
106,65c21d0abf85afd03721abe5,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
107,65c21d0abf85afd03721abe6,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148
108,65c21d0abf85afd03721abe7,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.09810556
109,65c21d0abf85afd03721abe8,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
110,65c21d0abf85afd03721abe9,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.99702236
111,65c21d0abf85afd03721abea,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
112,65c21d0abf85afd03721abeb,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.09576736
113,65c21d0abf85afd03721abec,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09498796
114,65c21d0abf85afd03721abed,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
115,65c21d0abf85afd03721abee,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.10122316
116,65c21d0abf85afd03721abef,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09446836
117,65c21d0abf85afd03721abf0,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
118,65c21d0abf85afd03721abf1,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
119,65c21d0abf85afd03721abf2,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.79773388
120,65c21d0abf85afd03721abf3,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.69561148
121,65c21d0abf85afd03721abf4,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.29949256
122,65c21d0abf85afd03721abf5,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.89985628
123,65c21d0abf85afd03721abf6,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
124,65c21d0abf85afd03721abf7,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028
125,65c21d0abf85afd03721abf8,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
126,65c21d0abf85afd03721abf9,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
127,65c21d0abf85afd03721abfa,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.49592324
128,65c21d0abf85afd03721abfb,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.4994406
129,65c21d0abf85afd03721abfc,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
130,65c21d0abf85afd03721abfd,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.69782984
131,65c21d0abf85afd03721abfe,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.20022796
132,65c21d0abf85afd03721abff,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
133,65c21d0abf85afd03721ac00,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.69964844
134,65c21d0abf85afd03721ac01,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
135,65c21d0abf85afd03721ac02,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,65.99664272
136,65c21d0abf85afd03721ac03,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818
137,65c21d0abf85afd03721ac04,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
138,65c21d0abf85afd03721ac05,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.89737812
139,65c21d0abf85afd03721ac06,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.3973182
140,65c21d0abf85afd03721ac07,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.90037588
141,65c21d0abf85afd03721ac08,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
142,65c21d0abf85afd03721ac09,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.90037588
143,65c21d0abf85afd03721ac0a,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.19814956
144,65c21d0abf85afd03721ac0b,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.29845336
145,65c21d0abf85afd03721ac0c,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.29923276
146,65c21d0abf85afd03721ac0d,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
147,65c21d0abf85afd03721ac0e,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.19944856
148,65c21d0abf85afd03721ac0f,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.79851328
149,65c21d0abf85afd03721ac10,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
150,65c21d0abf85afd03721ac11,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.10006412
151,65c21d0abf85afd03721ac12,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808964
152,65c21d0abf85afd03721ac13,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
153,65c21d0abf85afd03721ac14,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.19984832
154,65c21d0abf85afd03721ac15,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.89607912
155,65c21d0abf85afd03721ac16,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
156,65c21d0abf85afd03721ac17,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99482412
157,65c21d0abf85afd03721ac18,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
158,65c21d0abf85afd03721ac19,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.69860924
159,65c21d0abf85afd03721ac1a,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.40005616
160,65c21d0abf85afd03721ac1b,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
161,65c21d0abf85afd03721ac1c,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89478012
162,65c21d0abf85afd03721ac1d,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.90037588
163,65c21d0abf85afd03721ac1e,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.59648684
164,65c21d0abf85afd03721ac1f,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
165,65c21d0abf85afd03721ac20,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
166,65c21d0abf85afd03721ac21,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5009994
167,65c21d0abf85afd03721ac22,475.0,118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19451236
168,65c21d0abf85afd03721ac23,469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.69886904
169,65c21d0abf85afd03721ac24,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
170,65c21d0abf85afd03721ac25,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.59882504
171,65c21d0abf85afd03721ac26,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.19840936
172,65c21d0abf85afd03721ac27,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
173,65c21d0abf85afd03721ac28,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.09954452
174,65c21d0abf85afd03721ac29,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.497622
175,65c21d0abf85afd03721ac2a,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
176,65c21d0abf85afd03721ac2b,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.49566344
177,65c21d0abf85afd03721ac2c,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
178,65c21d0abf85afd03721ac2d,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
179,65c21d0abf85afd03721ac2e,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
180,65c21d0abf85afd03721ac2f,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
181,65c21d0abf85afd03721ac30,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.5992248
182,65c21d0abf85afd03721ac31,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
183,65c21d0abf85afd03721ac32,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508
184,65c21d0abf85afd03721ac33,222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204
185,65c21d0abf85afd03721ac34,222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
186,65c21d0abf85afd03721ac35,222.36,0.0,96.67,189.29,4.46,967.08,870.32,28.0,24.8900836
187,65c21d0abf85afd03721ac36,222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.44751996
188,65c21d0abf85afd03721ac37,222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,40.7135578
189,65c21d0abf85afd03721ac38,233.81,0.0,94.58,197.89,4.567,947.04,852.16,3.0,10.38350856
190,65c21d0abf85afd03721ac39,233.81,0.0,94.58,197.89,4.567,947.04,852.16,14.0,22.13907436
191,65c21d0abf85afd03721ac3a,233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
192,65c21d0abf85afd03721ac3b,233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0,27.66177712
193,65c21d0abf85afd03721ac3c,233.81,0.0,94.58,197.89,4.567,947.04,852.16,100.0,34.55653712
194,65c21d0abf85afd03721ac3d,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,3.0,12.45193656
195,65c21d0abf85afd03721ac3e,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.98661024
196,65c21d0abf85afd03721ac3f,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28.0,25.72434956
197,65c21d0abf85afd03721ac40,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56.0,33.96358776
198,65c21d0abf85afd03721ac41,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100.0,37.34202016
199,65c21d0abf85afd03721ac42,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3.0,15.04436632
200,65c21d0abf85afd03721ac43,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14.0,21.0634918
201,65c21d0abf85afd03721ac44,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28.0,26.40003604
202,65c21d0abf85afd03721ac45,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56.0,35.34253976
203,65c21d0abf85afd03721ac46,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100.0,40.56876784
204,65c21d0abf85afd03721ac47,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3.0,12.47262084
205,65c21d0abf85afd03721ac48,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
206,65c21d0abf85afd03721ac49,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
207,65c21d0abf85afd03721ac4a,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56.0,34.20490436
208,65c21d0abf85afd03721ac4b,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0,39.6103962
209,65c21d0abf85afd03721ac4c,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
210,65c21d0abf85afd03721ac4d,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,20.08443588
211,65c21d0abf85afd03721ac4e,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28.0,24.48329276
212,65c21d0abf85afd03721ac4f,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56.0,31.53663224
213,65c21d0abf85afd03721ac50,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,35.34253976
214,65c21d0abf85afd03721ac51,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
215,65c21d0abf85afd03721ac52,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342
216,65c21d0abf85afd03721ac53,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
217,65c21d0abf85afd03721ac54,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56.0,38.56239268
218,65c21d0abf85afd03721ac55,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100.0,40.38950408
219,65c21d0abf85afd03721ac56,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
220,65c21d0abf85afd03721ac57,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14.0,25.48303296
221,65c21d0abf85afd03721ac58,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
222,65c21d0abf85afd03721ac59,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56.0,28.62704352
223,65c21d0abf85afd03721ac5a,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100.0,33.5430074
224,65c21d0abf85afd03721ac5b,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3.0,7.74971024
225,65c21d0abf85afd03721ac5c,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
226,65c21d0abf85afd03721ac5d,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28.0,24.24197616
227,65c21d0abf85afd03721ac5e,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,32.8535314
228,65c21d0abf85afd03721ac5f,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,39.2311844
229,65c21d0abf85afd03721ac60,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,17.9953236
230,65c21d0abf85afd03721ac61,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,30.38520732
231,65c21d0abf85afd03721ac62,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28.0,45.70536404
232,65c21d0abf85afd03721ac63,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,50.77301264
233,65c21d0abf85afd03721ac64,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0,53.90323368
234,65c21d0abf85afd03721ac65,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3.0,13.18278112
235,65c21d0abf85afd03721ac66,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14.0,17.83674412
236,65c21d0abf85afd03721ac67,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28.0,40.2309246
237,65c21d0abf85afd03721ac68,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,47.13257936
238,65c21d0abf85afd03721ac69,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0,49.97322048
239,65c21d0abf85afd03721ac6a,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0,13.35515012
