_id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
65c21d0abf85afd03721af7c,276.4,116.0,90.3,179.6,8.9,870.1,768.3,28.0,44.284354004
65c21d0abf85afd03721ad37,251.37,0.0,118.27,192.94,5.75,1043.6,754.3,28.0,33.27411176
65c21d0abf85afd03721ade9,307.0,0.0,0.0,193.0,0.0,968.0,812.0,365.0,36.14922668
65c21d0abf85afd03721ad09,160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,39.39665864
65c21d0abf85afd03721aeaf,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11359384
65c21d0abf85afd03721ae0f,116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,31.023662096
65c21d0abf85afd03721aca7,290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,34.67374804
65c21d0abf85afd03721ad84,284.0,15.0,141.0,179.0,5.46,842.0,801.0,7.0,24.13166
65c21d0abf85afd03721ac56,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
65c21d0abf85afd03721af2a,151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.180972492
65c21d0abf85afd03721ac5c,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
65c21d0abf85afd03721acd9,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
65c21d0abf85afd03721ad52,446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
65c21d0abf85afd03721abd6,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
65c21d0abf85afd03721aee8,296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.41942132
65c21d0abf85afd03721ad36,194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0,37.2661778
65c21d0abf85afd03721af3b,284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.934879596
65c21d0abf85afd03721ab8b,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984
65c21d0abf85afd03721ad88,359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.1166257153
65c21d0abf85afd03721ae11,157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.664355176
65c21d0abf85afd03721ac66,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14.0,17.83674412
65c21d0abf85afd03721ac5f,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,39.2311844
65c21d0abf85afd03721ad62,387.0,20.0,94.0,157.0,11.61,938.0,845.0,28.0,46.68441996
65c21d0abf85afd03721abc2,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
65c21d0abf85afd03721af05,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.41734292
65c21d0abf85afd03721abcc,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2003478
65c21d0abf85afd03721abc8,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
65c21d0abf85afd03721aca6,290.35,0.0,96.18,168.08,9.41,961.18,865.0,3.0,22.50449664
65c21d0abf85afd03721adb6,228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.699338604
65c21d0abf85afd03721ac59,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56.0,28.62704352
65c21d0abf85afd03721ae56,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87173752
65c21d0abf85afd03721ae51,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3.0,14.306627
65c21d0abf85afd03721aebb,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28.0,19.98790924
65c21d0abf85afd03721add9,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,12.83804312
65c21d0abf85afd03721ae60,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28.0,43.89204216
65c21d0abf85afd03721acda,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588
65c21d0abf85afd03721abd3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
65c21d0abf85afd03721ac03,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818
65c21d0abf85afd03721acae,277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
65c21d0abf85afd03721af08,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.73865868
65c21d0abf85afd03721ae2e,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0,6.8085755
65c21d0abf85afd03721aecc,165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.0297974
65c21d0abf85afd03721ad27,250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176
65c21d0abf85afd03721abed,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
65c21d0abf85afd03721aebf,304.0,140.0,0.0,214.0,6.0,895.0,722.0,28.0,33.41890172
65c21d0abf85afd03721af63,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28.0,44.611855104
65c21d0abf85afd03721aec5,151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0,15.56836808
65c21d0abf85afd03721acf4,376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56.0,36.3009114
65c21d0abf85afd03721adc3,228.0,342.1,0.0,185.7,0.0,955.8,674.3,7.0,21.917063088
65c21d0abf85afd03721ac6d,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,31.35047372
65c21d0abf85afd03721ac2c,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
65c21d0abf85afd03721af78,298.2,0.0,107.0,209.7,11.1,879.6,744.2,28.0,31.875164956
65c21d0abf85afd03721adc8,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.899986092
65c21d0abf85afd03721ae07,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.565020596
65c21d0abf85afd03721af7b,166.0,259.7,0.0,183.2,12.7,858.8,826.8,28.0,37.917043144
65c21d0abf85afd03721adeb,307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.53077668
65c21d0abf85afd03721ac72,238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192
65c21d0abf85afd03721ab94,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
65c21d0abf85afd03721af23,236.9,91.7,71.5,246.9,6.0,852.9,695.4,28.0,28.629801424
65c21d0abf85afd03721ad03,333.0,17.5,163.0,167.0,17.9,996.0,652.0,28.0,47.27736932
65c21d0abf85afd03721ad14,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3.0,14.94094492
65c21d0abf85afd03721ad92,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696
65c21d0abf85afd03721af5a,309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.215586252
65c21d0abf85afd03721ad4e,250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172
65c21d0abf85afd03721ae40,173.0,116.0,0.0,192.0,0.0,946.8,856.8,90.0,32.102692036
65c21d0abf85afd03721ac6e,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0,40.85834776
65c21d0abf85afd03721ac7f,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
65c21d0abf85afd03721acd6,213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
65c21d0abf85afd03721ace7,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3.0,18.01600788
65c21d0abf85afd03721abfc,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
65c21d0abf85afd03721af26,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,32.720462532
65c21d0abf85afd03721ae91,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0,39.48629052
65c21d0abf85afd03721ad2b,165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28.0,26.200088
65c21d0abf85afd03721ac21,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5009994
65c21d0abf85afd03721accd,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100.0,58.60546
65c21d0abf85afd03721aea7,310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428
65c21d0abf85afd03721adf4,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,14.2032056
65c21d0abf85afd03721ab7e,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
65c21d0abf85afd03721af55,272.8,105.1,81.8,209.7,9.0,904.0,679.7,28.0,37.171030112
65c21d0abf85afd03721abc5,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
65c21d0abf85afd03721adae,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7.0,21.819846972
65c21d0abf85afd03721ada8,255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.236210524
65c21d0abf85afd03721adc4,290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.0431373
65c21d0abf85afd03721ae3e,200.0,133.0,0.0,192.0,0.0,965.4,806.2,90.0,43.25082948
65c21d0abf85afd03721ae65,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1.0,12.63809508
65c21d0abf85afd03721adc5,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,14.54104884
65c21d0abf85afd03721abaf,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
65c21d0abf85afd03721af28,133.1,210.2,0.0,195.7,3.1,949.4,795.3,28.0,28.937997196
65c21d0abf85afd03721adf7,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.84819544
65c21d0abf85afd03721ac76,250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
65c21d0abf85afd03721acba,249.1,0.0,98.75,158.11,12.8,987.76,889.01,3.0,15.36152528
65c21d0abf85afd03721ad8a,359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,35.7542554305
65c21d0abf85afd03721acb9,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208
65c21d0abf85afd03721ae22,212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168
65c21d0abf85afd03721aeca,280.0,129.0,100.0,172.0,9.0,825.0,805.0,28.0,52.82075636
65c21d0abf85afd03721af75,321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.265488324
65c21d0abf85afd03721adc9,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7.0,10.335934716
65c21d0abf85afd03721ad7b,424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0,32.1098822847
65c21d0abf85afd03721acc2,252.31,0.0,98.75,146.25,14.17,987.76,889.01,56.0,55.82687172
65c21d0abf85afd03721ae53,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0,31.74347504
65c21d0abf85afd03721af7e,148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.696600644
65c21d0abf85afd03721acab,277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
65c21d0abf85afd03721adf1,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.3403214
65c21d0abf85afd03721ab90,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
65c21d0abf85afd03721aead,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28.0,55.94408264
65c21d0abf85afd03721acaa,290.35,0.0,96.18,168.08,9.41,961.18,865.0,100.0,48.97348028
65c21d0abf85afd03721ad3c,172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56.0,35.852752
65c21d0abf85afd03721ab92,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168
65c21d0abf85afd03721af03,155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.786922
65c21d0abf85afd03721ae32,116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.347985588
65c21d0abf85afd03721ad5f,446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.76507868
65c21d0abf85afd03721aca5,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,48.15300384
65c21d0abf85afd03721abb1,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
65c21d0abf85afd03721aea0,393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,48.79421652
65c21d0abf85afd03721ae94,302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,18.12632404
65c21d0abf85afd03721ac94,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,32.66047812
65c21d0abf85afd03721ab9a,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812
65c21d0abf85afd03721af45,314.0,145.3,113.2,178.9,8.0,869.1,690.2,28.0,46.234192132
65c21d0abf85afd03721aebd,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0,33.68779736
65c21d0abf85afd03721af19,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.6472082
65c21d0abf85afd03721af16,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804
65c21d0abf85afd03721adb7,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0,13.089012384
65c21d0abf85afd03721aca9,290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
65c21d0abf85afd03721aef8,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636
65c21d0abf85afd03721aca0,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
65c21d0abf85afd03721ac8f,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28.0,29.65436276
65c21d0abf85afd03721adaa,239.6,359.4,0.0,185.7,0.0,941.6,664.3,28.0,39.435269296
65c21d0abf85afd03721af7d,322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.178794196
65c21d0abf85afd03721ad58,446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,23.34565736
65c21d0abf85afd03721adf0,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.1695112
65c21d0abf85afd03721ae39,200.0,133.0,0.0,192.0,0.0,965.4,806.2,7.0,17.165883972
65c21d0abf85afd03721acde,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14.0,47.7117392
65c21d0abf85afd03721af0b,277.0,117.0,91.0,191.0,7.0,946.0,666.0,28.0,43.5748832
65c21d0abf85afd03721abee,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.10122316
65c21d0abf85afd03721af60,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28.0,45.304778484
65c21d0abf85afd03721acd4,213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14.0,33.72916592
65c21d0abf85afd03721add2,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,20.96696516
65c21d0abf85afd03721ad24,167.0,75.4,167.0,164.03,7.91,1007.3,770.1,14.0,32.90179472
65c21d0abf85afd03721ace0,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56.0,66.82401392
65c21d0abf85afd03721ae69,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.0919902
65c21d0abf85afd03721ada6,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28.0,27.935499092
65c21d0abf85afd03721aee5,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0,36.80422888
65c21d0abf85afd03721ae9d,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28.0,31.6469484
65c21d0abf85afd03721abda,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
65c21d0abf85afd03721ad23,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14.0,33.00521612
65c21d0abf85afd03721ac9d,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,21.50475644
65c21d0abf85afd03721ab9e,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
65c21d0abf85afd03721acb0,295.71,0.0,95.64,171.54,8.87,955.14,859.2,3.0,22.94576128
65c21d0abf85afd03721abc3,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
65c21d0abf85afd03721af6e,287.3,120.5,93.9,187.6,9.2,904.4,695.9,28.0,43.798273424
65c21d0abf85afd03721addb,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.94602108
65c21d0abf85afd03721ae4b,203.5,305.3,0.0,203.5,0.0,963.4,630.0,90.0,51.863763672
65c21d0abf85afd03721abbc,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.064311264
65c21d0abf85afd03721ae00,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,19.539060364
65c21d0abf85afd03721ad48,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100.0,53.65502232
65c21d0abf85afd03721ad17,167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3.0,15.52010476
65c21d0abf85afd03721ac0f,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.79851328
65c21d0abf85afd03721ae72,350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.3377234
65c21d0abf85afd03721ad57,446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
65c21d0abf85afd03721ac0d,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
65c21d0abf85afd03721ac7d,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100.0,42.919881
65c21d0abf85afd03721ac69,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0,49.97322048
65c21d0abf85afd03721ae20,102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308
65c21d0abf85afd03721ab8c,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
65c21d0abf85afd03721abdd,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.59934464
65c21d0abf85afd03721ae75,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,32.72253096
65c21d0abf85afd03721adba,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.576122192
65c21d0abf85afd03721adfe,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,20.27748916
65c21d0abf85afd03721ad66,387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0,36.83870268
65c21d0abf85afd03721abc7,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
65c21d0abf85afd03721ad6d,355.0,19.0,97.0,145.0,12.25,967.0,871.0,28.0,55.45455468
65c21d0abf85afd03721ac20,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
65c21d0abf85afd03721acf6,500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0,67.568648
65c21d0abf85afd03721aefb,313.0,161.0,0.0,178.0,10.0,917.0,759.0,28.0,52.44154456
65c21d0abf85afd03721af25,154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.287661424
65c21d0abf85afd03721ad3a,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.58737372
